dt,open,high,low,close,volume,value
2022-08-19 02:16:00,23361.6,23364.2,23338.0,23346.5,327.46,7647034.2095
2022-08-19 02:17:00,23346.5,23354.6,23343.9,23344.4,110.708,2584738.4238
2022-08-19 02:18:00,23344.4,23359.8,23341.8,23354.4,161.286,3766044.2285999996
2022-08-19 02:19:00,23354.4,23398.0,23354.4,23396.1,785.524,18362193.004899997
2022-08-19 02:20:00,23396.0,23398.9,23384.9,23395.5,356.904,8349349.7178
2022-08-19 02:21:00,23395.4,23419.0,23389.4,23389.4,646.378,15124146.357400002
2022-08-19 02:22:00,23389.4,23397.0,23389.4,23392.0,121.188,2834823.6366000003
2022-08-19 02:23:00,23391.9,23393.0,23377.7,23382.4,153.456,3588760.38
2022-08-19 02:24:00,23382.4,23382.4,23372.6,23373.9,105.402,2464069.5106499996
2022-08-19 02:25:00,23373.8,23376.2,23370.5,23370.6,103.748,2424878.6607000004
2022-08-19 02:26:00,23370.5,23378.6,23370.5,23377.8,129.221,3020456.8813500004
2022-08-19 02:27:00,23377.9,23385.0,23377.7,23377.8,97.229,2273175.1284000003
2022-08-19 02:28:00,23377.7,23387.6,23375.5,23384.3,94.216,2202890.2054
2022-08-19 02:29:00,23384.2,23387.0,23375.9,23376.1,128.189,2997161.3712000004
2022-08-19 02:30:00,23376.1,23379.0,23369.7,23378.9,171.361,4005721.883925
2022-08-19 02:31:00,23378.9,23379.0,23365.6,23365.6,657.716,15372319.223900001
2022-08-19 02:32:00,23365.7,23372.2,23362.0,23367.6,184.147,4302939.930625
2022-08-19 02:33:00,23367.5,23374.4,23358.6,23371.9,138.191,3229261.1070999997
2022-08-19 02:34:00,23371.9,23384.7,23370.0,23380.6,136.018,3179665.5824
2022-08-19 02:35:00,23380.6,23393.5,23380.6,23393.5,130.892,3061177.7485999996
2022-08-19 02:36:00,23393.4,23405.6,23393.4,23400.6,308.809,7225590.184250001
2022-08-19 02:37:00,23400.6,23400.7,23388.4,23392.0,133.297,3118539.966225
2022-08-19 02:38:00,23392.1,23395.0,23381.4,23381.4,158.605,3709370.4723749994
2022-08-19 02:39:00,23381.4,23395.0,23381.4,23394.9,78.653,1839550.1282750003
2022-08-19 02:40:00,23395.0,23395.0,23377.0,23377.5,106.045,2479981.625625
2022-08-19 02:41:00,23377.6,23383.0,23377.5,23379.0,76.572,1790197.8453000002
2022-08-19 02:42:00,23379.0,23384.9,23365.0,23373.4,388.092,9071873.6529
2022-08-19 02:43:00,23373.4,23375.0,23366.4,23374.9,72.808,1701699.5194000003
2022-08-19 02:44:00,23374.9,23375.0,23356.4,23356.4,116.944,2732475.4972000006
2022-08-19 02:45:00,23356.4,23367.0,23351.0,23367.0,134.709,3146849.38815
